headline,url,category,content,cluster,cluster_name
UK's Deliveroo to be bought by US firm DoorDash in ?2.9bn deal,https://www.bbc.com/news/articles/c5yr1nz7jwko,business,,0,politics
Car giant Ford and Barbie maker Mattel warn over tariffs costs,https://www.bbc.com/news/articles/cly1e7ll07do,business,,0,politics
World of Business,https://cloud.email.bbc.com/WorldofBusiness_Newsletter_Signup?&at_bbc_team=studios&at_medium=emails&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.com&at_format=Module&at_link_origin=homepage&at_campaign=wob&at_campaign_type=owned,business,,2,arts/culture/celebrities
Trump considering 100% tariffs on movies not made in the US,https://www.bbc.com/news/articles/cjr7e2z1rxyo,business,,1,business
OpenAI says non-profit will remain in control after backlash,https://www.bbc.com/news/articles/cwy603eg0w8o,business,,2,arts/culture/celebrities
Car giant Ford and Barbie maker Mattel warn over tariffs costs,https://www.bbc.com/news/articles/cly1e7ll07do,business,,0,politics
India worried about Chinese 'dumping' as trade tensions with Trump escalate,https://www.bbc.com/news/articles/ckg5d505v8xo,business,,1,business
Deliveroo deal shows UK still can't hang on to big firms,https://www.bbc.com/news/articles/cvgp22d2kexo,business,,0,politics
What Canada's Mark Carney can expect when he meets Trump,https://www.bbc.com/news/videos/cwyn9vv9852o,business,,1,business
World of Business,https://cloud.email.bbc.com/WorldofBusiness_Newsletter_Signup?&at_bbc_team=studios&at_medium=emails&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.com&at_format=Module&at_link_origin=homepage&at_campaign=wob&at_campaign_type=owned,business,,2,arts/culture/celebrities
Colombia's wind farms bring promise and pain for indigenous group,https://www.bbc.com/news/articles/ckg2ekjjgldo,business,,2,arts/culture/celebrities
Deported gang members get second chance at call centre,https://www.bbc.com/news/articles/c93g2e332d9o,business,,2,arts/culture/celebrities
"Highly unlikely for tariffs to be ratcheted up, expert says",https://www.bbc.com/reel/video/p0l6j1mj/highly-unlikely-for-tariffs-to-be-ratcheted-up-expert-says,business,,2,arts/culture/celebrities
The ex-Google exec who wants to simplify your life,https://www.bbc.com/worklife/article/20250313-the-ex-google-exec-who-wants-to-simplify-your-life,business,,2,arts/culture/celebrities
Trump film tariffs to be part of UK-US trade talks,https://www.bbc.com/news/articles/cz01kx3yrmvo,business,,0,politics
What impact might Trump's Hollywood tariffs plan have?,https://www.bbc.com/news/articles/cwy04kjwk09o,business,,1,business
Elon Musk's Starbase in Texas will officially become a city,https://www.bbc.com/news/articles/c39j8rj4nmmo,business,,2,arts/culture/celebrities
How Carney's election win will change direction of trade war,https://www.bbc.com/news/articles/cgjlqwxevd0o,business,,1,business
London's 'spiralling' housing crisis in numbers,https://www.bbc.com/news/articles/cgkg54nd5d5o,business,,2,arts/culture/celebrities
"Warren Buffett, 94, stepping down as Berkshire Hathaway CEO",https://www.bbc.com/news/articles/cqj4nev7p70o,business,,2,arts/culture/celebrities
Playing with FIRE: How to quit work and retire in your 30s,https://www.bbc.com/reel/video/p09qwdp6/playing-with-fire-how-to-quit-work-and-retire-in-your-30s,business,,2,arts/culture/celebrities
Boomerang CEOs: Do they ever succeed?,https://www.bbc.com/reel/video/p0h9q7kj/boomerang-ceos-do-they-ever-succeed-,business,,2,arts/culture/celebrities
How industry leaders transformed their career,https://www.bbc.com/reel/video/p0h4hbs4/how-industry-leaders-transformed-their-career,business,,2,arts/culture/celebrities
Women were the original beer brewers - what changed?,https://www.bbc.com/reel/video/p0gwgmz8/women-were-the-original-beer-brewers-what-changed-,business,,2,arts/culture/celebrities
How waiting alters our perception of time,https://www.bbc.com/reel/video/p09cdyyd/how-waiting-alters-our-perception-of-time,business,,2,arts/culture/celebrities
Do the super-rich 'deserve' their wealth?,https://www.bbc.com/reel/video/p0fv01m1/do-the-super-rich-deserve-their-wealth-,business,,2,arts/culture/celebrities
Four simple hacks to succeed in every conversation,https://www.bbc.com/reel/video/p098mgm9/four-simple-hacks-to-succeed-in-every-conversation,business,,2,arts/culture/celebrities
Solo and hybrid work: Navigating our future and new normal,https://www.bbc.com/reel/video/p09p4p1r/solo-and-hybrid-work-navigating-our-future-and-new-normal,business,,2,arts/culture/celebrities
Can supersonic flight ever be sustainable?,https://www.bbc.com/reel/video/p0c5mvlh/can-supersonic-flight-ever-be-sustainable-,business,,2,arts/culture/celebrities
Commencement speech: The surprising pitfall of your passions,https://www.bbc.com/reel/video/p0fq5w2r/commencement-speech-the-surprising-pitfall-of-your-passions,business,,2,arts/culture/celebrities
A desk full of descriptions for your work colleagues,https://www.bbc.com/reel/video/p0d20p52/a-desk-full-of-descriptions-for-your-work-colleagues,business,,2,arts/culture/celebrities
Veterinarian suicide rates are very high. Why?,https://www.bbc.com/reel/video/p0gkmzb8/veterinarian-suicide-rates-are-very-high-why-,business,,2,arts/culture/celebrities
ASMR: How whispering took over the internet,https://www.bbc.com/reel/video/p0d95c27/asmr-how-whispering-took-over-the-internet,business,,2,arts/culture/celebrities
Uber starts allowing customers to pay in cash,https://www.bbc.com/news/articles/c4g4le9n469o,business,,2,arts/culture/celebrities
Wall Street stocks bounce back from Trump tariff losses,https://www.bbc.com/news/articles/cj0z65dq771o,business,,1,business
Tariffs on car parts entering the US come into force,https://www.bbc.com/news/articles/c4grdke5r1jo,business,,2,arts/culture/celebrities
US court rules ex-Abercrombie CEO unfit for trial,https://www.bbc.com/news/articles/cp31nknxgwlo,business,,2,arts/culture/celebrities
US jobs grow by more than expected despite tariff turmoil,https://www.bbc.com/news/articles/c4grd0wqy22o,business,,2,arts/culture/celebrities
Temu to stop selling goods from China directly to US customers,https://www.bbc.com/news/articles/cwy79j2n7d4o,business,,3,sports
M&S supplier resorts to pen and paper after cyber attack,https://www.bbc.com/news/articles/cvgnyplvdv8o,business,,2,arts/culture/celebrities
"Co-op cyber attack affects customer data, firm admits, after hackers contact BBC",https://www.bbc.com/news/articles/crkx3vy54nzo,business,,2,arts/culture/celebrities
Trump signs order to block funding to public radio,https://www.bbc.com/news/articles/cly1jwe7582o,business,,1,business
27 of the best looks from Met Gala 2025,https://www.bbc.com/news/articles/c20xvd10xv5o,culture,,2,arts/culture/celebrities
Attenborough at 99 delivers 'greatest message he's ever told',https://www.bbc.com/news/articles/cn0wjxg0ex1o,culture,,2,arts/culture/celebrities
What impact might Trump's Hollywood tariffs plan have?,https://www.bbc.com/news/articles/cwy04kjwk09o,culture,,1,business
Trump film tariffs to be part of UK-US trade talks,https://www.bbc.com/news/articles/cz01kx3yrmvo,culture,,0,politics
Lemmy statue to be unveiled in hometown,https://www.bbc.com/news/articles/c5ylnyrydl0o,culture,,2,arts/culture/celebrities
Attenborough at 99 delivers 'greatest message he's ever told',https://www.bbc.com/news/articles/cn0wjxg0ex1o,culture,,2,arts/culture/celebrities
"Winter fuel cuts were factor at elections, says minister",https://www.bbc.com/news/articles/cy0xee5krnno,politics,,2,arts/culture/celebrities
Visa applications for some nationalities could be restricted,https://www.bbc.com/news/articles/cn0wd75ne82o,politics,,2,arts/culture/celebrities
Wales' Labour first minister says she will 'call out' Starmer,https://www.bbc.com/news/articles/cy9v7gn9729o,politics,,2,arts/culture/celebrities
"Plan to modernise 1,000 GP practice buildings",https://www.bbc.com/news/articles/cx28erkmm3yo,politics,,2,arts/culture/celebrities
"Changing leader not enough to fix Tories, Badenoch says",https://www.bbc.com/news/articles/c5y6nv7l635o,politics,,2,arts/culture/celebrities
Visa applications for some nationalities could be restricted,https://www.bbc.com/news/articles/cn0wd75ne82o,politics,,2,arts/culture/celebrities
Ex-Runcorn MP blames Labour mistakes for election losses,https://www.bbc.com/news/articles/c87p99jzrxjo,politics,,2,arts/culture/celebrities
Trump film tariffs to be part of UK-US trade talks,https://www.bbc.com/news/articles/cz01kx3yrmvo,politics,,0,politics
Rihanna reveals she is expecting third child with A$AP Rocky,https://www.bbc.com/news/articles/cde21wnlrpjo,culture,,2,arts/culture/celebrities
What is Sean 'Diddy' Combs charged with and how are jurors picked?,https://www.bbc.com/news/articles/c0qz32wzeego,culture,,2,arts/culture/celebrities
What impact might Trump's Hollywood tariffs plan have?,https://www.bbc.com/news/articles/cwy04kjwk09o,culture,,1,business
Banksy's legacy amid steelworks loss fuels new play,https://www.bbc.com/news/articles/cy9vw540zngo,culture,,2,arts/culture/celebrities
Trump considering 100% tariffs on movies not made in the US,https://www.bbc.com/news/articles/cjr7e2z1rxyo,culture,,1,business
"Molly-Mae is back, and I Kissed a Boy returns: What's coming up this week",https://www.bbc.com/news/articles/clyqxzlzw9jo,culture,,2,arts/culture/celebrities
Brazil police thwart bomb attack on Lady Gaga concert,https://www.bbc.com/news/articles/c209r5pqzneo,culture,,2,arts/culture/celebrities
How Katy Perry became the Hot and Cold popstar,https://www.bbc.com/news/articles/cwynz85zj2vo,culture,,2,arts/culture/celebrities
This video has been removed for rights reasons,https://www.bbc.com/news/videos/cp8ydeglqveo,culture,,2,arts/culture/celebrities
Watch: Stars celebrate at glitzy Oscars after party,https://www.bbc.com/news/videos/c0mwrjegvk0o,culture,,2,arts/culture/celebrities
Wales' Labour first minister says she will 'call out' Starmer,https://www.bbc.com/news/articles/cy9v7gn9729o,politics,,2,arts/culture/celebrities
"Doing nothing on social care 'untenable', MPs warn",https://www.bbc.com/news/articles/c62zpwx74e6o,politics,,2,arts/culture/celebrities
Reform considers legal challenges against asylum hotels,https://www.bbc.com/news/articles/c77npgv06xpo,politics,,2,arts/culture/celebrities
Labour minister sorry over grooming gangs remark,https://www.bbc.com/news/articles/c2ew9jnj2p1o,politics,,2,arts/culture/celebrities
Reform clarifies flag policy after red rose row,https://www.bbc.com/news/articles/cwyn9pg994jo,politics,,2,arts/culture/celebrities
Scotland's election countdown - should Swinney be optimistic?,https://www.bbc.com/news/articles/cwynzj1ezv4o,politics,,2,arts/culture/celebrities
Take the questionnaire,https://www.bbc.co.uk/send/u193491675?at_mid=dSYDSOqekX&at_campaign=Our_BBC_Our_Future_Survey_Default&at_medium=display_ad&at_campaign_type=owned&at_audience_id=all_map_aud&at_product=pan_bbc&at_brand=our_bbc_our_future&at_ptr_name=bbc&at_ptr_type=media&at_format=banner&at_objective=consumption&at_link_title=Our_BBC_Our_Future_Survey_Default&at_bbc_team=BBC,politics,,2,arts/culture/celebrities
Local elections 2025 in maps and charts,https://www.bbc.com/news/articles/cd925jk27k0o,politics,,2,arts/culture/celebrities
Chris Mason: Fireworks for Reform as Labour and Tories write election post-mortems,https://www.bbc.com/news/articles/ce8478zp085o,politics,,2,arts/culture/celebrities
Henry Zeffman: Seven things we have learnt from the election results,https://www.bbc.com/news/articles/cp8jdr6ylzjo,politics,,2,arts/culture/celebrities
What might Reform do with its newly won power?,https://www.bbc.com/news/articles/cdjl4k8jyxeo,politics,,2,arts/culture/celebrities
'Not Labour enough': MPs' despair at voters' verdict on government,https://www.bbc.com/news/articles/cp8jdr900r7o,politics,,2,arts/culture/celebrities
From wedding videos to four Oscars: Anora director speaks to the BBC,https://www.bbc.com/news/videos/cg4kvg02w7ko,culture,,2,arts/culture/celebrities
Baftas 2025: Watch the big moments in 100 seconds,https://www.bbc.com/news/videos/crr0r5lqgr2o,culture,,2,arts/culture/celebrities
'I didn't believe it': Warwick Davis on receiving Bafta fellowship,https://www.bbc.com/news/videos/cd9q98d95w3o,culture,,2,arts/culture/celebrities
Nepo babies or superstars in waiting?,https://www.bbc.com/news/articles/c05nrdz2vqeo,culture,,2,arts/culture/celebrities
David Bowie to Doctor Who: Famous faces come to life in art show,https://www.bbc.com/news/articles/cdxg094zk58o,culture,,2,arts/culture/celebrities
Four ways the film Conclave sheds light on the secretive way popes are chosen,https://www.bbc.com/news/articles/cgkg403x1gxo,culture,,2,arts/culture/celebrities
Lorde: 'Working with Charli XCX kicked me into opening up',https://www.bbc.com/news/articles/c0l05xx6ekdo,culture,,2,arts/culture/celebrities
"Kneecap: Rap group are no strangers to controversy, but is this time different?",https://www.bbc.com/news/articles/cly5r4gg7l6o,culture,,2,arts/culture/celebrities
Rihanna reveals she is expecting third child with A$AP Rocky,https://www.bbc.com/news/articles/cde21wnlrpjo,culture,,2,arts/culture/celebrities
Trump film tariffs to be part of UK-US trade talks,https://www.bbc.com/news/articles/cz01kx3yrmvo,culture,,0,politics
What impact might Trump's Hollywood tariffs plan have?,https://www.bbc.com/news/articles/cwy04kjwk09o,culture,,1,business
The men who broke out of Alcatraz with a spoon,https://www.bbc.com/culture/article/20240607-it-was-the-cleverest-escape-in-the-prisons-30-years-the-men-who-broke-out-of-alcatraz-with-a-spoon,culture,,2,arts/culture/celebrities
The Cold War spy mystery of the vanishing frogman,https://www.bbc.com/culture/article/20250501-the-cold-war-spy-mystery-of-buster-crabb,culture,,2,arts/culture/celebrities
"Met Gala tickets cost $75,000. Here's what to know about fashion's biggest night",https://www.bbc.com/news/articles/c3r807j7xrwo,culture,,2,arts/culture/celebrities
"Molly-Mae is back, and I Kissed a Boy returns: What's coming up this week",https://www.bbc.com/news/articles/clyqxzlzw9jo,culture,,2,arts/culture/celebrities
Marvel's Thunderbolts* proves a hit at box office,https://www.bbc.com/news/articles/cz79x7exn3wo,culture,,2,arts/culture/celebrities
'Little Monsters' enjoy free Lady Gaga concert in Brazil,https://www.bbc.com/news/videos/c1me42j0xn3o,culture,,2,arts/culture/celebrities
"His stats are better, but will Yamal build legacy to rival Messi?",https://www.bbc.com/sport/football/articles/cr4nv6e1312o,sport,,2,arts/culture/celebrities
In Pictures: Sporting photos of the week,https://www.bbc.com/sport/articles/czd39932q39o,sport,,2,arts/culture/celebrities
Doris needs shoulder operation & is doubt for Lions,https://www.bbc.com/sport/rugby-union/articles/cyvqd858rd7o,sport,,2,arts/culture/celebrities
Tuchel faces dilemma over releasing players for Club World Cup,https://www.bbc.com/sport/football/articles/ckg2kqvqpe1o,sport,,2,arts/culture/celebrities
The runner who went viral and sparked a campaign for change for women,https://www.bbc.com/sport/athletics/articles/crm3py4jdnno,sport,,2,arts/culture/celebrities
"Rugby Union Weekly. A Champions Cup classic and Lions watch. Audio, 60 minutes",https://www.bbc.com/sounds/play/p0l8fft3,sport,,2,arts/culture/celebrities
LIVE: Inter defeat Barcelona in Champions League semifinal  reaction,https://www.aljazeera.com/sport/liveblog/2025/5/6/live-inter-milan-vs-barcelona-uefa-champions-league-semifinal,sport,,2,arts/culture/celebrities
Champions League: All to know before the PSG-Arsenal semifinal decider,https://www.aljazeera.com/sport/2025/5/6/psg-vs-arsenal-uefa-champions-league-start-time-team-news-lineups,sport,,2,arts/culture/celebrities
Nuggets Gordon drains game-winner to beat Thunder in NBA playoff opener,https://www.aljazeera.com/sport/2025/5/6/gordon-jokic-lead-nuggets-past-thunder-in-game-1-of-nba-playoffs,sport,,2,arts/culture/celebrities
"Knicks stun NBA champion Celtics in Game 1, steal home court",https://www.aljazeera.com/sport/2025/5/6/brunson-anunoby-knicks-stun-celtics-in-game-1-steal-playoffs-home-court,sport,,2,arts/culture/celebrities
Champions League: All to know ahead of Barca-Inter semifinal decider,https://www.aljazeera.com/sport/2025/5/5/inter-vs-barcelona-uefa-champions-league-start-time-team-news-lineups,sport,,2,arts/culture/celebrities
Alexander-Arnold confirms Liverpool exit amid Real Madrid rumours,https://www.aljazeera.com/sport/2025/5/5/alexander-arnold-to-depart-liverpool-at-season-end-amid-real-madrid-link,sport,,2,arts/culture/celebrities
"Pacers stun Cavs, Warriors shoot down Rockets to advance in NBA playoffs",https://www.aljazeera.com/sport/2025/5/5/hield-warriors-win-game-7-against-rockets-to-advance-in-nba-playoffs,sport,,2,arts/culture/celebrities
Three in a row: Piastri wins in Miami to lead McLaren one-two,https://www.aljazeera.com/sport/2025/5/5/piastri-beats-norris-at-f1-miami-gp-to-extend-championship-lead,sport,,2,arts/culture/celebrities
Mbappe brace against Celta Vigo keeps Real Madrid LaLiga title hopes alive,https://www.aljazeera.com/sport/2025/5/4/mbappe-keeps-real-madrids-laliga-hopes-alive-in-celta-vigo-thriller,sport,,2,arts/culture/celebrities
Real Madrid survive late scare against Celta Vigo to keep title race alive,https://www.aljazeera.com/sport/liveblog/2025/5/4/live-real-madrid-vs-celta-vigo-laliga,sport,,2,arts/culture/celebrities
Messi scores as Miami bounce back with crushing 4-1 defeat of Red Bulls,https://www.aljazeera.com/sport/2025/5/4/messi-inter-miami-crush-new-york-red-bulls-in-mls,sport,,2,arts/culture/celebrities
Nuggets eliminate Clippers to advance in NBA playoffs,https://www.aljazeera.com/sport/2025/5/4/nuggets-eliminate-clippers-in-game-7-to-advance-in-nba-playoffs,sport,,2,arts/culture/celebrities
Alvarez beats Scull to reclaim undisputed super-middleweight title,https://www.aljazeera.com/sport/2025/5/4/canelo-alvarez-beats-scull-to-reclaim-undisputed-super-middleweight-title,sport,,2,arts/culture/celebrities
Canelo Alvarez unifies super-middleweight titles in decision win over Scull,https://www.aljazeera.com/sport/liveblog/2025/5/3/live-canelo-vs-scull-middleweight-boxing,sport,,2,arts/culture/celebrities
India launches attacks on several sites in Pakistan,https://www.aljazeera.com/news/2025/5/6/india-launches-attacks-on-several-sites-in-pakistan,politics,,3,sports
India fires missile barrage into Pakistan as war fears surge,https://www.aljazeera.com/news/liveblog/2025/5/6/india-pakistan-fighting-live-india-fires-missiles-into-pakistan,politics,,2,arts/culture/celebrities
Key takeaways from Donald Trumps meeting with Canadas PM Mark Carney,https://www.aljazeera.com/news/2025/5/6/key-takeaways-from-donald-trumps-meeting-with-canadas-pm-mark-carney,politics,,1,business
Trump says bombing of Yemen to stop as Oman confirms US-Houthi ceasefire,https://www.aljazeera.com/news/2025/5/6/trump-says-bombing-of-yemen-to-stop-as-oman-confirms-us-houthi-ceasefire,politics,,1,business
Pakistan blames India after seven soldiers killed in Balochistan blast,https://www.aljazeera.com/news/2025/5/6/pakistan-blames-india-after-seven-soldiers-killed-in-balochistan-blast,politics,,2,arts/culture/celebrities
LIVE: Inter defeat Barcelona in Champions League semifinal  reaction,https://www.aljazeera.com/sport/liveblog/2025/5/6/live-inter-milan-vs-barcelona-uefa-champions-league-semifinal,politics,,2,arts/culture/celebrities
"India, UK agree historic trade deal including tariff cuts",https://www.aljazeera.com/news/2025/5/6/india-uk-agree-historic-trade-deal-including-tariff-cuts,politics,,0,politics
Yemens Houthis vow retaliation after Israeli attacks on Sanaa,https://www.aljazeera.com/news/2025/5/6/israeli-strikes-rock-yemens-sanaa-including-international-airport,politics,,3,sports
No safety guarantee: Could Ukrainian drones target Putins Victory Day?,https://www.aljazeera.com/news/2025/5/6/no-safety-guarantee-could-ukrainian-drones-target-putins-victory-day,politics,,2,arts/culture/celebrities
Champions League: All to know before the PSG-Arsenal semifinal decider,https://www.aljazeera.com/sport/2025/5/6/psg-vs-arsenal-uefa-champions-league-start-time-team-news-lineups,sport,,2,arts/culture/celebrities
Germanys Merz elected chancellor in second round of voting,https://www.aljazeera.com/news/2025/5/6/germanys-merz-elected-chancellor-in-second-round-vote,politics,,2,arts/culture/celebrities
Trump updates: Canadas Mark Carney visits White House amid tariff dispute,https://www.aljazeera.com/news/liveblog/2025/5/6/trump-live-canadas-mark-carney-to-visit-white-house-amid-tariff-dispute,politics,,1,business
"What are the Piprahwa gems, and why is India trying to stop their auction?",https://www.aljazeera.com/news/2025/5/6/what-are-the-piprahwa-gems-and-why-is-india-trying-to-stop-their,politics,,2,arts/culture/celebrities
"Seeking funds to rebuild, Lebanon government works to regain donor trust",https://www.aljazeera.com/news/2025/5/6/lebanon-government-works-to-regain-donor-trust-secure-reconstruction-funds,politics,,2,arts/culture/celebrities
"Canada's trade deficit narrows to $506M in March, driven by slump in U.S. imports",https://www.cbc.ca/news/business/canada-trade-deficit-march-1.7527457,business,,2,arts/culture/celebrities
Greg Abel named CEO of Berkshire following Buffett's retirement announcement,https://www.cbc.ca/news/world/warren-buffett-retirement-announcement-berkshire-hathaway-1.7525926,business,,2,arts/culture/celebrities
Startups aim to bring EV charging to apartment and condo dwellers,https://www.cbc.ca/news/science/ev-charging-multiresidential-1.7522564,business,,2,arts/culture/celebrities
"After Trump vows tariffs on foreign movies, the Canadian film industry says he's lost the plot",https://www.cbc.ca/news/business/trump-us-film-industry-tariffs-1.7526419,business,,1,business
"Dissident to fight board vote delay in court after Parkland, Sunoco ink $9.1B US deal",https://www.cbc.ca/news/canada/calgary/dissident-to-fight-board-vote-delay-in-court-after-parkland-sunoco-ink-9-1b-us-deal-1.7526406,politics,,2,arts/culture/celebrities
Peace Bridge duty-free shop goes into receivership as cross-border travel plummets,https://www.cbc.ca/news/canada/hamilton/duty-free-shops-1.7520595,politics,,2,arts/culture/celebrities
The U.S. tax loophole that made Shein and Temu rich is changing. What will happen to the brands now?,https://www.cbc.ca/news/business/shein-temu-de-minimis-exemption-end-1.7522979,business,,2,arts/culture/celebrities
Competition Bureau takes Canada's Wonderland to court over alleged 'deceptive marketing practices',https://www.cbc.ca/news/canada/toronto/competition-bureau-canada-wonderland-alleged-misleading-advertising-1.7526933,politics,,2,arts/culture/celebrities
"Flaunting fur might be back, thanks in part to vintage buyers and sustainable shoppers",https://www.cbc.ca/radio/costofliving/fur-resurgence-1.7519080,business,,2,arts/culture/celebrities
An energy superpower? Oilpatch skeptical of Carney's support for the sector,https://www.cbc.ca/news/canada/calgary/oil-sector-mark-carney-1.7521971,politics,,1,business
Now comes the hard part for Mark Carney,https://www.cbc.ca/news/business/armstrong-election-economy-1.7521865,business,,1,business
"Canada's economy shrank 0.2% in February, but signs point to growth in March: StatsCan",https://www.cbc.ca/news/business/canada-gdp-february-1.7522455,politics,,2,arts/culture/celebrities
"68,000 job losses possible in Ontario this year due to U.S. trade war: report",https://www.cbc.ca/news/canada/toronto/fao-report-ontario-impact-us-trade-war-1.7522571,politics,,2,arts/culture/celebrities
"China draws up list of U.S.-made goods exempt from 125% tariffs, sources say",https://www.cbc.ca/news/business/china-tariff-whitelist-1.7522535,business,,3,sports
Trump says order to soften auto tariffs' impact will give a 'little relief' to industry,https://www.cbc.ca/news/business/trump-reduce-auto-tariffs-1.7521474,business,,1,business
"George Clooney scores 2025 Tony Award nod, but Denzel Washington, Kieran Culkin snubbed",https://www.cbc.ca/news/entertainment/2025-tony-award-nominations-1.7523676,culture,,2,arts/culture/celebrities
Weinstein accuser tells jury about alleged sexual assault: 'The unthinkable was happening',https://www.cbc.ca/news/entertainment/weinstein-rape-retrial-1.7522727,culture,,2,arts/culture/celebrities
"Colman Domingo, cast found chosen family-level friends in The Four Seasons",https://www.cbc.ca/player/play/video/9.6743867,sport,,2,arts/culture/celebrities
The federal NDP had its worst election ever. Now what?,https://www.cbc.ca/news/politics/ndp-future-new-leader-party-status-1.7523223,politics,,2,arts/culture/celebrities
"With less than 1% of the vote, does the People's Party of Canada have a future?",https://www.cbc.ca/news/politics/peoples-party-of-canada-ppc-maxime-bernier-election-2025-1.7523653,politics,,2,arts/culture/celebrities
"Singer-songwriter Jill Sobule, who had a hit with I Kissed a Girl, dead after house fire",https://www.cbc.ca/news/entertainment/obit-singer-songwriter-sobule-1.7524651,culture,,2,arts/culture/celebrities
"Chloë Sevigny, Lily McInerny on 'Bonjour Tristesse' and director Durga Chew-Bose",https://www.cbc.ca/player/play/video/9.6746996,sport,,2,arts/culture/celebrities
"King Charles will visit Canada, deliver throne speech to open Parliament",https://www.cbc.ca/news/politics/king-charles-canada-visit-1.7524946,politics,,2,arts/culture/celebrities
